date,underlying_price,historical_vol,Daily Change,Weekly Change,strike,IV,expiration,risk_free_rate,option_type
5/14/2025,1.0275,0.4332397047,0.00488997555,0.04195804196,0.95,0.4756,0.5945,4.2,call
5/15/2025,1.04,0.4331409018,0.01216545012,0.0234741784,0.95,0.4605,0.5918,4.2,call
5/16/2025,1.06,0.43215174,0.01923076923,0.01395348837,0.95,0.5745,0.589,4.2,call
5/19/2025,1.03,0.4302020239,0.02830188679,0.05287356322,0.95,0.6964,0.5808,4.2,call
5/20/2025,1.04,0.4297356002,0.009708737864,0.05882352941,0.95,0.5127,0.5781,4.2,call
5/21/2025,1.04,0.4253165289,0,0.03225806452,0.95,0.6478,0.5753,4.2,call
5/22/2025,1.0025,0.4258644837,0.03605769231,0.0195599022,0.95,0.8141,0.5726,4.2,call
5/23/2025,0.9275,0.4313308046,0.07481296758,0.09732360097,0.95,0.7688,0.5699,4.2,call
5/27/2025,0.89,0.4334905384,0.04043126685,0.1442307692,0.95,0.855,0.5589,4.2,call
5/28/2025,0.9425,0.4367523703,0.05898876404,0.1108490566,0.95,0.5425,0.5562,4.19547619,call
5/30/2025,0.8895,0.4407937861,0.05623342175,0.136407767,0.95,0.8141,0.5425,4.368,call
6/2/2025,0.8475,0.4388606604,0.04721753794,0.1850961538,0.95,0.7688,0.5425,4.368,call
6/3/2025,0.8675,0.4378298265,0.02359882006,0.1658653846,0.95,0.855,0.5397,4.368,call
6/4/2025,0.9,0.435216317,0.03746397695,0.102244389,0.95,0.5425,0.5369,4.368,call
6/5/2025,0.9,0.4435423282,0.02954177898,0.0001111111111,0.95,0.5467,0.5369,4.351,call
6/7/2025,0.9475,0.44937318316,0.03877346961,0.0295417789757412,0.95,0.51,0.5315068493,4.310931,call
6/9/2025,0.96,0.4567318316,0.03877346961,0.0295417789757412,0.95,0.667,0.5315068493,4.311,call
6/10/2025,0.96,0.4525230438,0.03877346961,0.0295417789757412,0.95,0.677,0.5215068493,4.311,call
